Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DRUM,59.670,58.853,57.577,56.594,56.074,55.713,55.698,56.083,56.732,57.491,58.391,59.465,60.863,62.372,63.954,65.548,67.296,69.009,70.838,72.296,73.517,74.460,75.728,77.736,78.871,79.254,80.002,81.176,82.072,82.384,82.287,82.597
DUBE_P,0.003,0.003,0.006,0.009,0.015,0.023,0.034,0.048,0.066,0.089,0.117,0.149,0.191,0.231,0.275,0.323,0.370,0.418,0.464,0.503,0.536,0.562,0.581,0.596,0.606,0.608,0.612,0.614,0.614,0.615,0.613,0.611
DUDH_P,41.872,41.771,41.418,41.150,40.992,40.822,40.710,40.664,40.655,40.650,40.650,40.756,40.793,41.350,41.959,42.605,43.283,43.992,44.758,45.370,45.873,46.325,46.869,47.672,48.192,48.463,48.842,49.299,49.671,49.841,49.826,49.919
DUGR_P,5.020,4.967,4.894,4.834,4.810,4.797,4.810,4.852,4.919,5.002,5.104,5.233,5.406,5.580,5.770,5.974,6.179,6.390,6.603,6.778,6.925,7.044,7.167,7.327,7.425,7.462,7.521,7.599,7.657,7.682,7.674,7.686
DUMF,56.799,56.252,55.292,54.503,53.984,53.498,53.173,53.031,52.977,52.898,52.801,52.759,52.715,52.965,53.173,53.327,53.617,53.880,54.288,54.540,54.762,54.961,55.520,56.716,57.396,57.706,58.244,59.096,59.777,60.015,60.003,60.277
DUNB,21.004,20.802,20.518,20.282,20.173,20.105,20.128,20.255,20.465,20.738,21.074,21.513,22.116,22.729,23.400,24.111,24.837,25.580,26.339,26.966,27.485,27.911,28.362,28.954,29.321,29.475,29.708,30.000,30.227,30.328,30.296,30.344
DUNF,32.736,32.344,31.748,31.271,31.017,30.837,30.812,30.973,31.264,31.613,32.037,32.567,33.280,34.042,34.850,35.676,36.566,37.455,38.396,39.151,39.780,40.282,40.923,41.901,42.473,42.688,43.068,43.628,44.059,44.220,44.176,44.314
DUNO_P,11.481,11.377,11.231,11.107,11.047,11.006,11.010,11.064,11.162,11.287,11.448,11.660,11.958,12.261,12.592,12.945,13.305,13.676,14.056,14.369,14.627,14.842,15.071,15.370,15.560,15.644,15.765,15.915,16.032,16.083,16.070,16.095
DYCE_P,31.698,31.534,31.192,30.949,30.852,30.792,30.837,31.009,31.276,31.602,31.994,32.525,33.139,34.059,35.071,36.146,37.240,38.361,39.508,40.454,41.236,41.882,42.559,43.437,43.989,44.219,44.571,45.004,45.340,45.490,45.445,45.514
EALI_6,202.610,200.529,197.510,194.930,193.489,192.325,191.872,192.267,193.256,194.555,196.184,198.478,201.779,205.325,209.131,213.071,217.278,221.552,226.138,229.795,232.835,235.381,238.591,243.474,246.444,247.749,249.808,252.609,254.826,255.724,255.564,256.224
EASO_1,299.905,297.389,293.563,290.765,290.006,290.015,291.573,294.998,299.922,305.995,313.359,322.530,334.110,347.216,361.662,377.042,392.533,408.327,424.164,437.419,448.380,457.199,465.892,476.320,482.836,485.258,489.061,493.704,497.202,498.797,498.105,498.659
ECCL,23.829,23.585,23.225,22.927,22.773,22.661,22.646,22.746,22.932,23.169,23.459,23.844,24.376,24.932,25.532,26.161,26.817,27.485,28.183,28.748,29.219,29.604,30.054,30.697,31.090,31.250,31.511,31.860,32.132,32.242,32.214,32.288
ECLA_1,379.469,376.488,371.177,367.391,365.981,365.336,366.460,369.706,374.481,380.198,387.036,395.588,405.766,419.167,433.783,449.180,464.966,480.952,497.232,510.696,521.859,530.810,540.335,552.778,560.351,563.158,567.794,573.926,578.597,580.548,579.824,580.906
