Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PITS_3,0.020,0.021,0.023,0.024,0.026,0.029,0.031,0.034,0.037,0.041,0.047,0.050,0.053,0.057,0.061,0.065,0.069,0.074,0.079,0.085,0.091,0.097,0.103,0.110,0.118,0.124,0.131,0.138,0.145,0.152,0.160,0.172
POOB,0.044,0.046,0.049,0.052,0.055,0.061,0.066,0.073,0.080,0.088,0.101,0.108,0.114,0.122,0.130,0.140,0.150,0.160,0.171,0.183,0.195,0.208,0.222,0.237,0.253,0.268,0.282,0.297,0.312,0.328,0.343,0.370
POPP_3,0.023,0.024,0.026,0.027,0.029,0.032,0.034,0.038,0.042,0.046,0.053,0.056,0.060,0.064,0.068,0.073,0.078,0.084,0.089,0.096,0.102,0.109,0.116,0.124,0.132,0.140,0.148,0.155,0.163,0.171,0.180,0.193
PORA_P,0.007,0.008,0.008,0.009,0.009,0.010,0.011,0.012,0.013,0.015,0.017,0.018,0.019,0.020,0.022,0.023,0.025,0.026,0.028,0.030,0.032,0.034,0.037,0.039,0.042,0.044,0.047,0.049,0.052,0.054,0.057,0.061
PORD,0.016,0.017,0.018,0.019,0.020,0.022,0.024,0.027,0.029,0.032,0.037,0.039,0.042,0.044,0.048,0.051,0.055,0.058,0.062,0.067,0.071,0.076,0.081,0.086,0.092,0.098,0.103,0.108,0.114,0.119,0.125,0.135
PYLE_1,0.054,0.058,0.061,0.065,0.069,0.077,0.082,0.091,0.101,0.110,0.126,0.134,0.143,0.152,0.163,0.175,0.187,0.200,0.214,0.228,0.244,0.260,0.278,0.296,0.316,0.334,0.353,0.371,0.390,0.409,0.429,0.462
QUOI_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RAIN_1,0.265,0.284,0.301,0.321,0.342,0.378,0.406,0.450,0.495,0.542,0.622,0.663,0.705,0.749,0.804,0.861,0.921,0.985,1.053,1.125,1.202,1.283,1.369,1.461,1.559,1.648,1.738,1.829,1.923,2.018,2.115,2.277
RANN_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005
RASS_1,0.146,0.156,0.166,0.177,0.188,0.208,0.223,0.248,0.273,0.298,0.343,0.365,0.388,0.413,0.443,0.474,0.507,0.543,0.580,0.620,0.662,0.706,0.754,0.805,0.859,0.907,0.957,1.007,1.059,1.111,1.165,1.254
