Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CREB_1,2.013,3.312,5.067,7.360,9.859,12.990,16.770,21.230,26.339,31.972,37.871,43.696,49.394,54.375,58.342,61.224,63.367,64.884,66.150,67.476,68.832,70.302,71.884,73.191,74.444,75.535,76.488,77.313,78.047,78.700,79.253,79.656
CROO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CUMB,0.000,0.000,0.114,0.314,0.592,0.963,1.417,1.930,2.451,2.975,3.524,4.066,4.596,5.060,5.429,5.697,5.897,6.038,6.156,6.279,6.405,6.542,6.689,6.811,6.927,7.029,7.118,7.194,7.263,7.323,7.375,7.412
CUPA,0.000,0.000,0.131,0.361,0.680,1.107,1.631,2.220,2.820,3.422,4.054,4.677,5.287,5.821,6.245,6.554,6.783,6.945,7.081,7.223,7.368,7.525,7.695,7.835,7.969,8.086,8.187,8.276,8.354,8.424,8.484,8.527
CURR,0.000,0.000,0.091,0.250,0.471,0.766,1.128,1.535,1.950,2.367,2.804,3.235,3.657,4.025,4.319,4.532,4.691,4.803,4.897,4.995,5.096,5.205,5.322,5.418,5.511,5.592,5.662,5.724,5.778,5.826,5.867,5.897
DALM3,0.000,0.000,0.095,0.263,0.496,0.808,1.189,1.619,2.056,2.496,2.956,3.411,3.856,4.245,4.554,4.779,4.947,5.065,5.164,5.267,5.373,5.488,5.611,5.714,5.811,5.897,5.971,6.035,6.093,6.144,6.187,6.218
DEVM,0.000,0.000,0.071,0.195,0.368,0.599,0.882,1.201,1.525,1.851,2.192,2.530,2.860,3.148,3.378,3.544,3.668,3.756,3.830,3.906,3.985,4.070,4.161,4.237,4.310,4.373,4.428,4.476,4.518,4.556,4.588,4.611
DEVO,0.000,0.000,0.137,0.378,0.713,1.161,1.709,2.327,2.956,3.588,4.250,4.904,5.543,6.102,6.547,6.871,7.111,7.281,7.423,7.572,7.724,7.889,8.067,8.213,8.354,8.476,8.583,8.676,8.758,8.832,8.894,8.939
DEWP,1.010,1.660,1.960,2.089,1.923,1.598,1.172,0.791,0.692,0.840,0.995,1.148,1.297,1.428,1.532,1.608,1.664,1.704,1.737,1.772,1.808,1.846,1.888,1.922,1.955,1.984,2.009,2.030,2.050,2.067,2.082,2.092
DOUN_P,0.000,0.000,0.000,0.001,0.002,0.003,0.005,0.007,0.009,0.011,0.013,0.015,0.016,0.018,0.019,0.020,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.026,0.026,0.026
DRAK_1,0.000,0.000,0.566,1.560,2.942,4.788,7.050,9.599,12.191,14.798,17.528,20.224,22.861,25.166,27.002,28.336,29.328,30.030,30.616,31.230,31.858,32.538,33.270,33.875,34.455,34.960,35.401,35.783,36.123,36.425,36.681,36.867
DRAX_1,0.212,0.348,0.536,0.782,1.052,1.391,1.801,2.283,2.834,3.440,4.075,4.702,5.315,5.851,6.278,6.588,6.818,6.982,7.118,7.260,7.406,7.565,7.735,7.875,8.010,8.128,8.230,8.319,8.398,8.468,8.528,8.571
DRCR,0.000,0.000,0.066,0.183,0.345,0.562,0.827,1.127,1.431,1.737,2.057,2.374,2.683,2.954,3.169,3.326,3.442,3.525,3.593,3.665,3.739,3.819,3.905,3.976,4.044,4.103,4.155,4.200,4.240,4.275,4.305,4.327
DRUM,0.000,0.000,0.182,0.502,0.947,1.542,2.270,3.091,3.925,4.765,5.644,6.512,7.361,8.103,8.694,9.124,9.443,9.669,9.858,10.055,10.258,10.477,10.712,10.907,11.094,11.256,11.398,11.521,11.631,11.728,11.811,11.870
DUBE_P,0.000,0.000,0.007,0.018,0.035,0.056,0.083,0.113,0.143,0.174,0.205,0.237,0.268,0.295,0.317,0.332,0.344,0.352,0.359,0.366,0.373,0.382,0.390,0.397,0.404,0.410,0.415,0.419,0.423,0.427,0.430,0.432
DUDH_P,0.560,0.930,1.157,1.344,1.412,1.445,1.469,1.552,1.797,2.182,2.584,2.982,3.370,3.710,3.981,4.177,4.324,4.427,4.514,4.604,4.697,4.797,4.905,4.994,5.080,5.154,5.219,5.275,5.325,5.370,5.408,5.435
DUGR_P,0.000,0.000,0.026,0.072,0.135,0.220,0.324,0.441,0.560,0.680,0.805,0.929,1.050,1.156,1.240,1.301,1.347,1.379,1.406,1.434,1.463,1.494,1.528,1.556,1.582,1.606,1.626,1.644,1.659,1.673,1.685,1.693
DUMF,0.180,0.300,0.352,0.365,0.321,0.242,0.141,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DUNB,0.000,0.000,0.092,0.253,0.477,0.777,1.143,1.557,1.977,2.400,2.843,3.280,3.708,4.082,4.379,4.596,4.756,4.870,4.965,5.065,5.167,5.277,5.396,5.494,5.588,5.670,5.741,5.803,5.859,5.908,5.949,5.979
DUNF,0.000,0.000,0.098,0.271,0.511,0.831,1.223,1.666,2.115,2.568,3.041,3.509,3.967,4.367,4.685,4.917,5.089,5.211,5.312,5.419,5.528,5.646,5.773,5.878,5.978,6.066,6.143,6.209,6.268,6.320,6.365,6.397
DUNO_P,0.000,0.000,0.046,0.126,0.238,0.387,0.571,0.777,0.987,1.198,1.419,1.637,1.850,2.037,2.185,2.293,2.373,2.430,2.478,2.527,2.578,2.633,2.692,2.741,2.788,2.829,2.865,2.896,2.923,2.948,2.968,2.983
