Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
DRUM,0.505,0.655,0.722,0.841,0.958,1.086,1.335,1.584,1.899,2.182,2.484,2.765,3.021,3.420,3.764,4.067,4.553,4.976,5.550,5.935,6.302,6.609,7.217,8.518,9.245,9.615,10.301,11.337,12.155,12.485,12.571,12.993
DUBE_P,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001
DUDH_P,0.151,0.196,0.216,0.252,0.287,0.325,0.400,0.475,0.569,0.654,0.745,0.829,0.905,1.025,1.128,1.219,1.365,1.491,1.663,1.779,1.889,1.981,2.163,2.553,2.771,2.881,3.087,3.398,3.643,3.742,3.768,3.894
DUGR_P,0.029,0.038,0.042,0.048,0.055,0.062,0.077,0.091,0.109,0.125,0.143,0.159,0.174,0.197,0.216,0.234,0.262,0.286,0.319,0.341,0.362,0.380,0.415,0.490,0.532,0.553,0.592,0.652,0.699,0.718,0.723,0.747
DUMF,0.347,0.450,0.496,0.578,0.658,0.746,0.918,1.089,1.305,1.499,1.708,1.900,2.076,2.351,2.587,2.795,3.130,3.420,3.814,4.078,4.331,4.542,4.960,5.854,6.353,6.608,7.079,7.792,8.354,8.580,8.639,8.929
DUNB,0.107,0.138,0.152,0.178,0.202,0.229,0.282,0.335,0.401,0.461,0.525,0.584,0.638,0.722,0.795,0.859,0.962,1.051,1.172,1.253,1.331,1.396,1.524,1.799,1.952,2.031,2.176,2.394,2.567,2.637,2.655,2.744
DUNF,0.230,0.297,0.328,0.382,0.435,0.494,0.607,0.720,0.863,0.991,1.129,1.256,1.373,1.554,1.710,1.848,2.069,2.261,2.522,2.697,2.864,3.003,3.280,3.871,4.201,4.369,4.681,5.152,5.523,5.673,5.713,5.904
DUNO_P,0.053,0.069,0.076,0.088,0.101,0.114,0.140,0.166,0.199,0.229,0.261,0.290,0.317,0.359,0.395,0.427,0.478,0.523,0.583,0.623,0.662,0.694,0.758,0.895,0.971,1.010,1.082,1.191,1.277,1.311,1.321,1.365
DYCE_P,0.156,0.202,0.223,0.260,0.296,0.335,0.412,0.489,0.586,0.674,0.767,0.854,0.933,1.056,1.162,1.256,1.406,1.537,1.714,1.833,1.946,2.041,2.229,2.631,2.855,2.969,3.181,3.501,3.754,3.856,3.882,4.013
EALI_6,1.056,1.369,1.509,1.758,2.002,2.270,2.791,3.312,3.970,4.561,5.193,5.780,6.316,7.150,7.868,8.503,9.519,10.403,11.603,12.407,13.174,13.817,15.088,17.807,19.326,20.100,21.535,23.701,25.411,26.100,26.282,27.163
EASO_1,1.717,2.225,2.453,2.857,3.254,3.691,4.537,5.384,6.453,7.414,8.442,9.395,10.267,11.622,12.790,13.822,15.473,16.910,18.861,20.167,21.415,22.459,24.525,28.946,31.415,32.673,35.005,38.526,41.305,42.426,42.721,44.153
ECCL,0.133,0.173,0.190,0.222,0.253,0.287,0.352,0.418,0.501,0.576,0.655,0.729,0.797,0.902,0.993,1.073,1.201,1.313,1.464,1.566,1.663,1.744,1.904,2.247,2.439,2.536,2.718,2.991,3.207,3.294,3.317,3.428
ECLA_1,2.382,3.085,3.403,3.962,4.514,5.118,6.292,7.467,8.950,10.283,11.708,13.030,14.239,16.119,17.738,19.169,21.459,23.452,26.158,27.970,29.701,31.148,34.014,40.145,43.570,45.314,48.549,53.432,57.286,58.841,59.250,61.236
